date,equity,position
2024-09-04,100000.0,0
2024-09-05,101439.31959437358,1
2024-09-06,93212.29964017011,1
2024-09-09,96679.75139025188,1
2024-09-10,99280.34020281321,1
2024-09-11,100065.42361792606,0
2024-09-12,100065.42361792606,0
2024-09-13,100065.42361792606,0
2024-09-16,100065.42361792606,0
2024-09-17,100065.42361792606,0
2024-09-18,100065.42361792606,0
2024-09-19,100065.42361792606,0
2024-09-20,100065.42361792606,0
2024-09-23,100065.42361792606,0
2024-09-24,100065.42361792606,0
2024-09-25,100065.42361792606,0
2024-09-26,100065.42361792606,0
2024-09-27,100065.42361792606,0
2024-09-30,100065.42361792606,0
2024-10-01,100065.42361792606,0
2024-10-02,101036.9325850904,1
2024-10-03,100804.93044367801,1
2024-10-04,104357.46323405503,1
2024-10-07,103023.45092093386,0
2024-10-08,103023.45092093386,0
2024-10-09,103023.45092093386,0
2024-10-10,103023.45092093386,0
2024-10-11,103023.45092093386,0
2024-10-14,103023.45092093386,0
2024-10-15,103023.45092093386,0
2024-10-16,103023.45092093386,0
2024-10-17,99970.09646125018,1
2024-10-18,101742.13253160231,1
2024-10-21,100951.53182329137,0
2024-10-22,100951.53182329137,0
2024-10-23,100951.53182329137,0
2024-10-24,101061.53076834534,1
2024-10-25,102766.51441668205,1
2024-10-28,104760.24529578547,0
2024-10-29,104760.24529578547,0
2024-10-30,104760.24529578547,0
2024-10-31,104760.24529578547,0
2024-11-01,106030.88183262078,1
2024-11-04,105044.269933431,1
2024-11-05,109035.56352560777,1
2024-11-06,114596.4669574046,0
2024-11-07,114596.4669574046,0
2024-11-08,114596.4669574046,0
2024-11-11,114596.4669574046,0
2024-11-12,114596.4669574046,0
2024-11-13,114596.4669574046,0
2024-11-14,114596.4669574046,0
2024-11-15,110147.27062154058,1
2024-11-18,112371.86878947259,1
2024-11-19,114626.12826631038,1
2024-11-20,114418.49910397005,0
2024-11-21,114418.49910397005,0
2024-11-22,114418.49910397005,0
2024-11-25,114418.49910397005,0
2024-11-26,114418.49910397005,0
2024-11-27,114418.49910397005,0
2024-11-29,114418.49910397005,0
2024-12-02,114418.49910397005,0
2024-12-03,114418.49910397005,0
2024-12-04,114418.49910397005,0
2024-12-05,114418.49910397005,0
2024-12-06,114418.49910397005,0
2024-12-09,114418.49910397005,0
2024-12-10,114418.49910397005,0
2024-12-11,117592.40084016445,1
2024-12-12,116064.71369743187,0
2024-12-13,116064.71369743187,0
2024-12-16,116064.71369743187,0
2024-12-17,116064.71369743187,0
2024-12-18,116064.71369743187,0
2024-12-19,111464.54585894343,1
2024-12-20,114356.86695499904,1
2024-12-23,117152.77734785281,1
2024-12-24,118378.57057427638,0
2024-12-26,118378.57057427638,0
2024-12-27,118378.57057427638,0
2024-12-30,118378.57057427638,0
2024-12-31,114514.62456653411,1
2025-01-02,113791.03917182582,1
2025-01-03,119246.87304792635,1
2025-01-06,122966.10197672695,0
2025-01-07,122966.10197672695,0
2025-01-08,122966.10197672695,0
2025-01-10,119891.94942730878,1
2025-01-13,118643.56260521003,1
2025-01-14,118222.2320527517,1
2025-01-15,126211.90771418369,1
2025-01-16,127975.2541003982,0
2025-01-17,127975.2541003982,0
2025-01-21,127975.2541003982,0
2025-01-22,127975.2541003982,0
2025-01-23,127975.2541003982,0
2025-01-24,127975.2541003982,0
2025-01-27,127975.2541003982,0
2025-01-28,132912.22356619645,1
2025-01-29,133330.33824408162,0
2025-01-30,133330.33824408162,0
2025-01-31,133330.33824408162,0
2025-02-03,133330.33824408162,0
2025-02-04,133330.33824408162,0
